City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Khatanga,RU,71.9667,102.5,-7.85,100,21,2.46,few clouds
80,Barrow,US,71.2906,-156.7887,10.42,79,100,6.91,haze
81,Luderitz,NA,-26.6481,15.1594,62.28,58,0,19.04,clear sky
82,Ocos,GT,14.5094,-92.1933,91.58,65,83,5.53,broken clouds
83,Ust-Shonosha,RU,61.1531,41.343,38.48,98,100,7.14,overcast clouds
84,Sfantu Gheorghe,RO,45.8667,25.7833,58.66,77,15,8.1,few clouds
85,Longyearbyen,SJ,78.2186,15.6401,4.84,51,40,12.66,scattered clouds
86,Biak,ID,-0.9131,122.8766,76.68,85,89,3.98,overcast clouds
87,Lata,PT,40.1629,-8.3327,61.81,54,80,10.0,broken clouds
88,Souillac,MU,-20.5167,57.5167,75.58,73,40,11.5,scattered clouds
89,Cape Town,ZA,-33.9258,18.4232,61.12,70,0,10.0,clear sky
90,Jackson,US,42.4165,-122.8345,57.74,62,100,1.99,overcast clouds
91,Aginskoye,RU,51.1,114.53,37.02,34,100,14.76,overcast clouds
92,Corner Brook,CA,48.9667,-57.9484,46.56,93,99,6.85,overcast clouds
93,Lokosovo,RU,61.1333,74.8167,33.22,99,100,3.69,overcast clouds
94,Marsh Harbour,BS,26.5412,-77.0636,75.07,63,13,13.89,few clouds
95,Cobh,IE,51.8572,-8.2992,54.1,76,20,12.66,few clouds
96,Haines Junction,CA,60.7522,-137.5108,37.35,60,99,0.0,overcast clouds
97,Ballina,AU,-28.8667,153.5667,58.01,99,100,5.44,overcast clouds
98,Beloha,MG,-25.1667,45.05,76.53,72,100,5.7,overcast clouds
99,Lind,DK,56.1,8.9833,53.64,41,21,10.13,few clouds
100,Salalah,OM,17.0151,54.0924,84.29,70,0,5.75,clear sky
101,Paracuru,BR,-3.41,-39.0306,84.11,77,71,10.56,broken clouds
102,Bathsheba,BB,13.2167,-59.5167,75.81,94,75,16.11,broken clouds
103,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,87.67,51,43,9.53,scattered clouds
104,Plast,RU,54.3691,60.8136,51.51,67,88,7.49,overcast clouds
